Ambient
X=-0.045 Y=-0.204 Z=0.978
X=-0.102 Y=0.980 Z=0.173
X=-0.120 Y=-0.367 Z=-0.922
X=-0.136 Y=0.653 Z=0.745
X=-0.176 Y=-0.735 Z=0.655
X=-0.254 Y=-0.939 Z=0.233
X=-0.332 Y=-0.694 Z=-0.639
X=-0.334 Y=0.163 Z=-0.928
X=-0.383 Y=0.122 Z=0.916
X=-0.384 Y=0.694 Z=-0.609
X=-0.398 Y=0.898 Z=-0.188
X=-0.525 Y=-0.408 Z=0.747
X=-0.562 Y=0.776 Z=0.288
X=-0.569 Y=-0.816 Z=-0.101
X=-0.607 Y=0.449 Z=0.656
X=-0.632 Y=-0.163 Z=-0.757
X=-0.731 Y=-0.612 Z=0.302
X=-0.735 Y=0.367 Z=-0.569
X=-0.754 Y=-0.490 Z=-0.437
X=-0.817 Y=0.571 Z=-0.076
X=-0.818 Y=-0.082 Z=0.569
X=-0.938 Y=0.245 Z=0.247
X=-0.952 Y=0.041 Z=-0.304
X=-0.957 Y=-0.286 Z=0.040
X=0.004 Y=0.490 Z=-0.872
X=0.038 Y=-0.898 Z=-0.438
X=0.160 Y=0.327 Z=0.932
X=0.194 Y=0.857 Z=0.477
X=0.201 Y=-0.980 Z=0.000
X=0.201 Y=0.816 Z=-0.542
X=0.219 Y=-0.041 Z=-0.975
X=0.254 Y=-0.531 Z=0.809
X=0.313 Y=-0.857 Z=0.409
X=0.329 Y=0.939 Z=-0.102
X=0.348 Y=-0.571 Z=-0.743
X=0.497 Y=0.000 Z=0.868
X=0.518 Y=0.286 Z=-0.806
X=0.533 Y=-0.776 Z=-0.339
X=0.570 Y=0.531 Z=0.628
X=0.630 Y=0.612 Z=-0.478
X=0.654 Y=0.735 Z=0.179
X=0.687 Y=-0.245 Z=-0.684
X=0.711 Y=-0.653 Z=0.260
X=0.723 Y=-0.327 Z=0.609
X=0.867 Y=0.204 Z=0.455
X=0.873 Y=-0.449 Z=-0.192
X=0.905 Y=0.082 Z=-0.418
X=0.910 Y=0.408 Z=-0.075
X=0.984 Y=-0.122 Z=0.132
